	Abundance: F1: 126, Sample	Abundance: F1: 127N, Sample	Abundance: F1: 127C, Sample	Abundance: F1: 128N, Sample	Abundance: F1: 128C, Sample	Abundance: F1: 129N, Sample	Abundance: F1: 129C, Sample	Abundance: F1: 130N, Sample	Abundance: F1: 130C, Sample	Abundance: F1: 131N, Sample	Abundance: F1: 131C, Sample	P valueC2_C3	fold_changeC2_C3	corrected P value (q value)C2_C3	P valueC1_C3	fold_changeC1_C3	corrected P value (q value)C1_C3	P valueC3_Ctrl	fold_changeC3_Ctrl	corrected P value (q value)C3_Ctrl	P valueC1_C2	fold_changeC1_C2	corrected P value (q value)C1_C2	P valueC2_Ctrl	fold_changeC2_Ctrl	corrected P value (q value)C2_Ctrl	P valueC1_Ctrl	fold_changeC1_Ctrl	corrected P value (q value)C1_Ctrl
A8K0R7-5	5.966231442909803	5.907407867357704	6.2037193172567	8.700120114907149	9.538171887798704	7.690947957035954	6.910757586155623	8.3	9.13916478217988	7.548733445777109	5.8370562602230684	0.17309443651216228	-0.28060138949875646	0.7891287042165847	0.03770529872880769	-0.37523205488156264	0.33206105249132956	0.3211739787216292	-0.1399115948261105	0.8269414445851239	0.5242137509051781	-0.09463066538280618	0.9687810297601877	0.0004682896422379422	-0.42051298432486695	0.025814466528366563	2.5690982936126836e-08	-0.5151436497076731	6.802972281486386e-06
A8MWD9	13.986411415345932	13.720431175798538	16.893204910068242	15.466880204279374	12.876532048528249	15.973507295382365	15.993467556531584	16.1	15.625023659855923	16.077821884512282	18.970432845724975	0.13612578257952315	0.13494500923882294	0.7176551257592461	0.10617685929026846	0.2478764728651851	0.5544791540714019	0.11686380445633117	-0.23881404341642057	0.5896564331730078	0.24778392173927322	0.11293146362636215	0.9197068606436436	0.2825060396404633	-0.10386903417759763	0.920580025724958	0.9469428223517092	0.009062429448764528	0.9950415053917961
ACB01219	92.42768382868465	85.56213330463255	98.11420704830596	103.14475736228808	109.30744983417314	102.25016706982416	120.7408075409761	122.6	105.24780087865216	156.85679887329056	154.4874223539039	7.592034563482116e-06	0.3936819932040022	0.0008338584628891191	5.903118775821958e-15	0.5685530042354064	1.2947507181636163e-12	3.563729504471074e-14	-0.6782647558499432	5.911336315541394e-12	0.034211996843610745	0.17487101103140457	0.43917104025520554	0.0009257733318635156	-0.2845827626459411	0.03950961671146552	0.1995621239992582	-0.10971175161453749	0.7746913875096969
ACB01324	7.2377233897594335	12.57706191114866	8.589765208509275	10.053472132781593	10.587370795456561	9.169976410312099	11.550837679717255	8.6	12.382094221017901	10.293727426059693	10.70126981040896				0.31483386269662106	0.08143102901792486	0.8114341852433007	0.5373103077303953	-0.18807593549017135	0.9417689510220523	0.5184397058729213	0.1112110838681654	0.9651293853930576	0.4453730150453341	-0.2178559903404119	0.9648464890163271	0.6611259648085395	-0.10664490647224649	0.9461458161262779
ACB01350	42.44826961021074	38.87455499809586	38.36761793134143	50.557364667738206	44.35249927826398	54.32964518367706	60.22231610792757	53.0	61.9104711050895	68.13467201058559	67.90442116059504	0.5194407283413658	-0.15782392624195757	0.9740901394333261	0.35783851326332516	0.19151585965049417	0.8424248362335168	0.01871169162571091	-0.4865682630599643	0.2334853020263318	0.004458607197385465	0.3493397858924518	0.13728362626368268	8.412992542842301e-09	-0.6443921893019218	5.565194567090182e-06	0.003988367608053695	-0.2950524034094701	0.13539996700161774
ACB01356	34.52589671060919	34.77748179976713	29.491527215881845	41.76057655155431	42.15871974407027	35.3980809817424	43.24159746765947	45.7	39.30823562227905	59.5075480725546	54.96561311710056	0.0003741678933614583	0.4407686382391289	0.01972613133801608	2.8613631219245708e-05	0.5656430976528355	0.0016192447592849402	4.1467053923633072e-19	-0.8223389737928706	1.375669513916527e-16	0.35307560251061243	0.12487445941370644	0.9548290404429043	0.00046785377091613383	-0.3815703355537432	0.025814466528366563	0.022181809715276675	-0.25669587614003647	0.36101366061876106
ACB01564	35.30835329328589	50.117686100486324	32.259340449734836	42.24391655793805	36.24505317363508	45.061066876479885	45.90717539374806	45.099999999999994	41.3719179924487	57.05666059015944	57.203151350186076	2.1240625585527062e-05	0.3474187520763191	0.0018516502425818227	0.00039633727950069827	0.47327254950148995	0.014096752968186998	4.2014759040121346e-05	-0.708246209920701	0.0018584528415413674	0.3234819640450155	0.1258537974251704	0.9412969679024188	0.026365223817787744	-0.36082745784438336	0.39192349562846274	0.2006942189696571	-0.2349736604192124	0.7746913875096969
ACB01598	14.866675070857212	14.577958124285946	14.411717183165564	16.530228218323582	12.87653204852825	14.691682635876376	8.589084428507702	15.200000000000001	10.711494207071041	17.744425372540995	18.386727219702667	0.02593202722650902	0.8075406671150451	0.33508246945626363	0.06655971611722897	0.29203840331235914	0.4379629320513666	0.0011972761867943	-0.2881809447601246	0.03028217887588531	0.12315797398234449	-0.5155022638026862	0.7655453406226485	0.08750231137242137	0.5193597223549206	0.6814665778021299	0.9664846372950862	0.003857458552234553	0.9991037133521424
ACB02157	22.495626751954994	20.77120830780612	20.042785486521645	22.910316302588825	19.171725494475396	25.636493190119847	24.582551985039288	31.400000000000002	30.169070840099174	32.93992776339102	29.087997030111627	0.7505351496622771	0.06512889618686735	0.9933036214100811	0.003512918899667797	0.42716403301879824	0.07338097257083843	0.0009143803404472765	-0.5343161682067774	0.025278806495281997	0.017281483531947844	0.36203513683193095	0.3091984350851209	0.005323623629955143	-0.4691872720199098	0.1637942805216431	0.4200598592787904	-0.10715213518797888	0.9071415464637962
ACB02245	10.074128501962456	7.622461764332521	8.589765208509275	10.440144137888579	11.350424546480458	11.04341245112855	8.3916342117604	7.4	4.1273647403393	11.470153417609373	12.06324960446101	0.029371510838425693	0.8889470689528439	0.3487536151805862	0.04882030246552549	0.104893664431078	0.3757164797931669	0.00449250824556964	-0.43436012251886086	0.0839656118573368	0.013495292078093761	-0.784053404521766	0.2627612751675903	0.17636775113120107	0.4545869464339831	0.8146681094325028	0.006841586342567193	-0.32946645808778285	0.2058695526717946
ACB02287	29.73335014171443	24.582439189972384	30.82771291498329	34.89714846090534	29.85447800880994	35.299479084857325	34.455062822404464	34.8	36.06530618344103	43.0375841908591	47.18287143680314	1.0327931942662766e-10	0.3604585038205678	4.537404766809842e-08	9.252427803845687e-05	0.43836236156585245	0.0038050609343315387	1.4326645709458572e-06	-0.6739508391184755	9.053075645929298e-05	0.3330637349830555	0.07790385774528463	0.9471736707614308	0.002397014558543261	-0.31349233529790776	0.09045181686484023	0.06531892606471819	-0.23558847755262313	0.5579500523205605
ACB02408	48.61011519878971	36.96893955701273	42.280733192995655	53.45740470604059	51.21998303747904	51.272986380239686	56.174586664607844	59.2	51.69032984329695	70.48752399368496	64.88860875947978	3.2200999607783866e-05	0.29319142143273125	0.0023578287490588407	7.742856798997415e-08	0.39123683501364975	7.838153498061999e-06	3.827037537934401e-09	-0.6743674622015476	3.627484866313536e-07	0.16444924235904657	0.09804541358091849	0.8426801228384214	0.00017763248023905463	-0.3811760407688167	0.013055987297570515	0.005780350319268544	-0.2831306271878981	0.18666302006613542
ACB02662	8.117987045270716	6.669654043790956	8.398881537209071	8.990124118737388	9.34740845004273	8.775568822771794	8.095458886639443	12.3	9.13916478217988	9.901585428876468	12.744239501487034	0.4269365159547397	0.21312926393901205	0.9541144708579107	0.024742984333463006	0.31424975870368693	0.26366529368060143	0.004120259816387278	-0.5467394001686989	0.08160574293053609	0.5768319377509934	0.10112049476467488	0.9689558742422832	0.10716195629238087	-0.3336101362296868	0.7168515153899284	0.029790371112610348	-0.23248964146501194	0.39772848585597803
ACB02879	22.69124089762417	21.057050623968593	19.85190181522144	24.553672324293505	18.69481690008546	28.200142509131833	27.840480561369795	29.2	20.7350942907522	35.19474424719457	40.9566780925652	0.008563724088072912	0.566320323932233	0.173455630095065	0.0037545393275471677	0.6933028178450795	0.07601498084695496	9.391317668681762e-15	-0.8428239845584977	1.7803255066200999e-12	0.585471827336727	0.12698249391284655	0.9689558742422832	0.09223347753730111	-0.27650366062626475	0.6885840966873674	0.41372827707847826	-0.1495211667134182	0.9071415464637962
ACB02913	63.18336905114316	66.88710198201787	52.39756777190659	67.28092888861528	67.91178384112678	68.33111454135789	82.43546549199922	75.2	72.52369472310485	95.87871831129885	98.06254517174757	2.1408669683422705e-06	0.32935372768610127	0.00029519974804617443	4.9892000278764933e-20	0.5052144507744694	1.6414468091713664e-17	4.1760891212762e-12	-0.6839503564484702	5.541670263933517e-10	0.0028752113121132392	0.17586072308836886	0.10740394925345954	9.563419976839485e-05	-0.35459662876236986	0.008434936419572426	0.022417796413517408	-0.17873590567400144	0.36101366061876106
ACB03062	9.87851435629328	6.860215587899269	12.4074386345134	12.373504163423501	14.116494393942082	13.804265563910686	18.65904548262018	14.5	14.642317769298947	21.07763234859842	18.970432845724975	0.03914903945196391	0.33770869891965405	0.4062868818715624	1.1230722954635112e-09	0.5764826661005074	1.6421812675888676e-07	0.0009042503788483096	-1.0831003295958215	0.025278806495281997	0.0719718100541266	0.2387739671808533	0.6269123454714712	0.006906829052380044	-0.7453916306761673	0.19274367589889654	0.04764263084525855	-0.506617663495314	0.5061057267488306
ACB03117	10.171935574797041	8.670550256928243	7.7307886876583485	11.503492151932784	8.39359126126286	10.846208657358396	8.687809536881355	10.9	7.1737530010659265	13.82300540070873	10.603985539405242	0.08315188739387712	0.46177479997262094	0.5787769747662194	0.2696516949499733	0.2536313520535035	0.7679102848749022	0.025276095565146	-0.46001323184686177	0.2772014778094938	0.351508124090126	-0.2081434479191174	0.9548290404429043	0.9932692006604578	0.0017615681257591536	0.9991075448352958	0.2534895775290178	-0.20638187979335823	0.8130838185335877
ACB03179	26.701330883842235	32.39546249841322	31.40036392888391	39.92388452729613	38.152687551194816	40.525379619766376	42.3530714922966	35.8	39.79958856755754	48.72364315001588	46.59916581078083	0.0029650964856855998	0.28073650162014485	0.0888181174575823	7.31432172147655e-11	0.2698422406462258	1.3750924836375914e-08	5.7796987069529496e-09	-0.6646348403854406	5.113106789417709e-07	0.8852271564854842	-0.010894260973919026	0.9968243154594769	0.0005903945057475705	-0.38389833876529583	0.02693420452082882	1.2351925088853109e-05	-0.3947925997392148	0.0014867226197855922
ACB03893	18.87676505707528	19.056154410831304	16.98864674571835	12.663508167253738	18.504053462329484	18.931564201934656	15.20366668954237	19.7	18.27832956435976	17.744425372540995	17.70573732267664	0.9543450198664711	0.008208335370688854	0.9954870899570534	0.6525190814163515	0.10935402744798267	0.9424354685379003	0.5145377799435207	0.04468844202831119	0.9305294075813256	0.6433597472363354	0.1011456920772938	0.9769988738546088	0.6673981676668888	0.05289677739900004	0.9835931822873861	0.43066405855975887	0.15404246947629385	0.9071415464637962
ACB04021	8.020179972436129	8.47998871281993	9.544183565010307	10.730148141718816	13.448822361796172	13.114052285715154	8.194183995013097	12.1	12.578635399129297	11.56818891690518	16.635610341635747	0.2543885955288723	0.36600068806620445	0.8893479281354207	0.48387216316461934	0.1654644426627834	0.8993424039359822	0.0017624851082637706	-0.6800407540046071	0.042523958884836795	0.36791705042271483	-0.20053624540342105	0.9554834981897798	0.1363737769238528	-0.3140400659384026	0.7580777599590641	5.005104121602762e-05	-0.5145763113418237	0.004417838571334705
ACB04109	20.246064076759495	25.058843050243166	20.997203843022675	27.067040357488906	26.897644723592343	28.00293871536168	30.802233812579345	38.0	30.856964963489055	38.429915723956185	40.275688195539175	0.1287939599066373	0.22949844354437135	0.6906717587085417	0.0006828604640107188	0.5463377525355531	0.019535747187784915	3.55923028707782e-07	-0.8166710735934454	2.6239436616401485e-05	0.025802342392992398	0.31683930899118184	0.38384608234069595	2.2676697707865776e-07	-0.587172630049074	7.500317766876605e-05	0.08574209405764664	-0.2703333210578924	0.616826270516069
ACB04182	24.060539917308386	26.01165077078473	30.064178229782467	34.02713644941463	28.042225350128188	28.594550096672137	32.48056065493142	33.9	29.775988483876382	40.58669670846393	30.74182963717483				0.2205283659037931	0.2305960469642925	0.7365871307852581	0.03355038419237982	-0.40931414495656304	0.3180640057321947	0.3975523406867578	0.08832813875808239	0.960869892662902	0.014348961766420892	-0.26704623675035294	0.3112078101143416	0.16711673073419475	-0.17871809799227054	0.7375418383069129
ACB04356	23.27808333463169	26.58333540310967	24.52855176207649	29.677076391961048	20.697832996523186	31.749810796994584	24.681277093412938	23.2	22.209153126587665	30.88118227817908	29.37984984312278	5.265795566221414e-09	0.36787876027073774	1.3880637112559645e-06	0.5143089257346373	0.16225193883536382	0.9085514138969559	0.00022898416570666923	-0.2827920177463152	0.008440610774798614	0.29565767279137845	-0.2056268214353739	0.9274711959730182	0.23138652666793535	0.08508674252442254	0.8740243646563397	0.5457668191389389	-0.12054007891095135	0.9204427469547897
ACB04374	5.770617297240629	5.335723235032765	5.249300960755669	6.766760089372227	4.769085943899352	5.91611381310458	6.812032477781972	6.2	5.699694165230462	7.352662447185495	10.21484845539037	0.017381260980481976	0.4783519787996375	0.2663779299101773	0.02295856873970473	0.5898220485938752	0.2560464106902663	0.0002923955622554909	-0.6699197227667727	0.010210760818764117	0.49856561809040734	0.11147006979423768	0.9633998153141139	0.024911944555381663	-0.1915677439671352	0.37883336375597637	0.6004661567108355	-0.08009767417289752	0.9342152661400073
ACB04472	6.357459734248151	5.621565551195235	4.103998932954432	5.413408071497781	6.390575164825131	6.113317606874733	7.30565801965023	6.7	5.5031529871190665	7.842839943664528	10.020279913382936	0.02528798633282626	0.4569689471366897	0.32999570283826746	0.00036652169230501304	0.5733007153568169	0.01378121563066849	0.006662811881629425	-0.7492959523382988	0.11051939208652808	0.40776438143882854	0.11633176822012725	0.960869892662902	0.19098439908486153	-0.29232700520160915	0.8177099028779024	0.381646814305568	-0.1759952369814819	0.8975519779582919
ACB04606	32.080719889744515	23.91547378559328	24.337668090776283	29.000400383023827	31.762112386369683	33.031635456500574	41.069645083439134	37.7	40.487482690947424	45.78257817114168	42.0268050736061	0.07447848598357744	0.16796471506490374	0.548702396066357	2.9245318610972045e-08	0.5076529533880585	3.2072366076699343e-06	3.339167772202739e-05	-0.8797973138603388	0.0015279571150734602	8.645685200334533e-05	0.33968823832315476	0.008176348003744944	1.7869157577376923e-05	-0.7118325987954349	0.0019700746229058055	0.029322129478771896	-0.37214436047228006	0.39614795336626524
ACB04798	8.31360119093989	8.289427168711617	3.0541387408032983	5.606744074051273	6.390575164825131	6.014715709989656	4.146454551693374	5.8	6.485858877676043	6.960520450002268	9.047437203345757	0.05132723716456376	0.5599425817009361	0.4815700228058722	0.010270902452425254	0.4044836695458901	0.14691856116730037	0.5136124843875888	-0.41584833497801943	0.9305294075813256	0.44031353044492116	-0.15545891215504604	0.960869892662902	0.78108650349977	0.14409424672291657	0.9894116410990493	0.9812650570634375	-0.011364665432129476	0.9993332842914272
ACB04810	19.463607494082797	13.625150403744383	15.652461046616903	23.876996315356283	16.501037365891758	16.663720573577898	22.114424275697992	17.8	15.33021189268883	26.175478311980363	20.52698118178446	0.14206561739638945	0.3484544983847941	0.734284249915456	0.23887777351717776	0.30790580698511755	0.7432033527337304	0.02355210723937622	-0.5283884198844683	0.26486140937840885	0.8618660827444686	-0.040548691399676574	0.9968243154594769	0.4013607029411339	-0.17993392149967416	0.9648464890163271	0.3390231557298191	-0.22048261289935076	0.8698966243920165
ACB04940	17.703080183060237	13.1487465434736	18.420274280469894	19.043596251518977	16.882564241403706	19.91758317078542	19.745021674730353	20.3	28.203659058985217	25.97940731338875	29.96355546914509	0.16593025808838602	0.3140049960103765	0.7743284277196046	9.328221091859573e-07	0.5873278062646191	7.6724618480545e-05	0.00024036509093079843	-0.7802152650300525	0.008620661504464042	0.12867918206894804	0.27332281025424265	0.779374218193999	0.038680624923933406	-0.46621026901967594	0.4467075574862577	0.2542422212031007	-0.1928874587654333	0.8130838185335877
ACB04948	7.824565826766955	4.09707319832873	3.5313479190538137	5.220072068944289	6.009048289313183	5.423104328679198	5.923506502419105	4.8	6.3875882886203454	8.921230435918401	10.895838352416394	3.136446855938906e-05	0.7998882734916148	0.0023578287490588407	4.0606470406151723e-10	0.8313656133544121	6.679764381811959e-08	0.027973575202597196	-1.0271995563891527	0.2946105896337022	0.8188494901420116	0.031477339862797216	0.9910203650986775	0.5425862147667105	-0.2273112828975378	0.9835931822873861	0.5838635786898504	-0.19583394303474058	0.9334514641607748
ACB04988	73.35530462594019	69.65024437158841	64.80500640641998	75.01436899075496	89.6588157453078	78.19130422986554	89.44494818652849	96.4	77.83030653211253	108.13315572327468	105.4561497680301	0.00017946958040217584	0.28502588308430243	0.010751859407730354	0.00011825119186104845	0.417722868551321	0.004715714196640599	1.8039449166627772e-17	-0.5964056961998182	4.787669808823011e-15	0.20152483921478537	0.13269698546701866	0.8720252145078058	0.00012005587470847824	-0.3113798131155157	0.009343171896430394	0.08755197560660141	-0.17868282764849694	0.616826270516069
ACB05044	33.15659769092497	32.967147130738155	34.740828176637514	43.11392856942875	48.16776803338345	40.22957392911114	46.10462561049537	43.3	42.15808270489428	50.29221113874878	51.85251644498159	0.008775485443676146	0.2313881593763401	0.173455630095065	0.03395974407106104	0.2746294251384692	0.32328088077932665	1.2779290267865656e-20	-0.6221693660359653	5.652706061819241e-18	0.7235207787129051	0.04324126576212913	0.9808359091458032	5.081595706505298e-06	-0.3907812066596252	0.000672295111970651	0.00167648282905191	-0.347539940897496	0.07398877552215763
