	Abundance: F1: 126, Sample	Abundance: F1: 127N, Sample	Abundance: F1: 127C, Sample	Abundance: F1: 128N, Sample	Abundance: F1: 128C, Sample	Abundance: F1: 129N, Sample	Abundance: F1: 129C, Sample	Abundance: F1: 130N, Sample	Abundance: F1: 130C, Sample	Abundance: F1: 131N, Sample	Abundance: F1: 131C, Sample	P valueC2_Ctrl	fold_changeC2_Ctrl	corrected P value (q value)C2_Ctrl	P valueC3_Ctrl	fold_changeC3_Ctrl	corrected P value (q value)C3_Ctrl	P valueC1_Ctrl	fold_changeC1_Ctrl	corrected P value (q value)C1_Ctrl	P valueC2_C3	fold_changeC2_C3	corrected P value (q value)C2_C3	P valueC1_C2	fold_changeC1_C2	corrected P value (q value)C1_C2	P valueC1_C3	fold_changeC1_C3	corrected P value (q value)C1_C3
A8K0R7-5	5.966231442909814	5.907407867357695	6.203719317256697	8.700120114907127	9.538171887798727	7.690947957035924	6.910757586155625	8.3	9.139164782179893	7.548733445777111	5.837056260223079	0.0004682896422379467	-0.420512984324868	0.025873002733646552	0.32117397872162057	-0.13991159482611223	0.826941444585173	2.5690982936152095e-08	-0.5151436497076713	6.813248674667535e-06	0.17309443651216316	-0.2806013894987557	0.7917869917548448	0.5242137509051958	-0.09463066538280336	0.9694013462265986	0.03770529872881113	-0.3752320548815591	0.3348366387963908
A8MWD9	13.986411415345959	13.720431175798518	16.893204910068235	15.466880204279338	12.876532048528283	15.973507295382303	15.993467556531588	16.1	15.625023659855946	16.077821884512286	18.970432845725007	0.2825060396404595	-0.10386903417759837	0.9226675087764761	0.11686380445633097	-0.23881404341642132	0.5896564331730252	0.9469428223516964	0.009062429448766599	0.9949652792696905	0.1361257825795254	0.1349450092388229	0.7196769461475307	0.2477839217392478	0.11293146362636497	0.919012217999705	0.10617685929025868	0.24787647286518788	0.5591138582467192
ACB01219	92.42768382868483	85.56213330463243	98.11420704830591	103.14475736228783	109.30744983417343	102.25016706982376	120.74080754097612	122.60000000000001	105.24780087865233	156.8567988732906	154.48742235390415	0.0009257733318634768	-0.2845827626459421	0.03959920767906355	3.5637295044709324e-14	-0.6782647558499443	5.9113363155411594e-12	0.19956212399926554	-0.10971175161453571	0.7781302174086808	7.592034563481736e-06	0.3936819932040026	0.0008395524888116886	0.03421199684360838	0.17487101103140665	0.43883934007378184	5.9031187758198274e-15	0.5685530042354093	1.3055731025854851e-12
ACB01324	7.237723389759448	12.577061911148641	8.589765208509272	10.05347213278157	10.587370795456588	9.169976410312064	11.550837679717258	8.6	12.382094221017919	10.293727426059696	10.701269810408977	0.44537301504533156	-0.21785599034041261	0.9654771283608572	0.5373103077303907	-0.18807593549017254	0.9417689510220647	0.6611259648085446	-0.10664490647224456	0.9475750394134971	0.8867711017553245	-0.029780054850240094	0.9935605736572601	0.5184397058729149	0.11121108386816807	0.9657568357564129	0.3148338626966235	0.08143102901792795	0.8150329673027817
ACB01350	42.448269610210815	38.874554998095796	38.367617931341414	50.557364667738085	44.352499278264084	54.329645183676845	60.22231610792758	53.0	61.9104711050896	68.1346720105856	67.90442116059513	8.412992542842055e-09	-0.6443921893019227	5.577814055904282e-06	0.018711691625710423	-0.4865682630599655	0.23348530202630519	0.003988367608053438	-0.29505240340946803	0.13560449867381688	0.5194407283413675	-0.15782392624195687	0.9735917407518322	0.004458607197384909	0.3493397858924544	0.1371799377241915	0.35783851326331384	0.19151585965049758	0.8419356508872651
ACB01356	34.52589671060925	34.777481799767074	29.491527215881835	41.76057655155421	42.158719744070375	35.39808098174227	43.241597467659474	45.7	39.30823562227911	59.50754807255462	54.96561311710066	0.00046785377091611963	-0.3815703355537438	0.025873002733646552	4.1467053923625003e-19	-0.8223389737928725	1.3756695139162594e-16	0.022181809715278254	-0.2566958761400345	0.36155899847469636	0.0003741678933614352	0.44076863823913004	0.019860831779624978	0.35307560251060277	0.12487445941370923	0.9541078704727463	2.8613631219244204e-05	0.5656430976528388	0.001632779479916642
ACB01564	35.30835329328595	50.11768610048625	32.25934044973482	42.24391655793794	36.24505317363517	45.061066876479714	45.907175393748076	45.099999999999994	41.37191799244876	57.05666059015945	57.203151350186175	0.02636522381778734	-0.36082745784438386	0.39281221103804514	4.2014759040119286e-05	-0.7082462099207022	0.0018584528415412764	0.20069421896965978	-0.23497366041921033	0.7781302174086808	2.124062558552568e-05	0.34741875207631945	0.0018642942882442501	0.32348196404500074	0.12585379742517355	0.9405860185308483	0.00039633727950062655	0.47327254950149295	0.014214582970198147
ACB01598	14.866675070857243	14.577958124285924	14.411717183165559	16.530228218323543	12.876532048528283	14.691682635876315	8.589084428507705	15.200000000000001	10.711494207071057	17.744425372541	18.3867272197027	0.08750231137242155	0.5193597223549201	0.6830118534887519	0.0011972761867942814	-0.28818094476012573	0.030282178875887023	0.9664846372950678	0.003857458552236626	0.9990591866718624	0.025932027226508843	0.8075406671150458	0.3373705895056592	0.12315797398234593	-0.5155022638026836	0.764967134172036	0.0665597161172244	0.29203840331236247	0.44162371643778386
ACB02157	22.495626751955037	20.77120830780609	20.042785486521637	22.910316302588768	19.171725494475446	25.636493190119744	24.58255198503929	31.400000000000002	30.169070840099216	32.939927763391026	29.087997030111673	0.005323623629955137	-0.4691872720199106	0.16416569612373283	0.0009143803404472535	-0.5343161682067789	0.025278806495281362	0.4200598592787953	-0.10715213518797712	0.9098228348265105	0.7505351496622742	0.06512889618686807	0.9935605736572601	0.017281483531946293	0.3620351368319337	0.30896490152385064	0.003512918899667132	0.4271640330188017	0.0739943393628299
ACB02245	10.074128501962475	7.62246176433251	8.589765208509272	10.440144137888554	11.350424546480486	11.043412451128505	8.391634211760401	7.4	4.127364740339307	11.470153417609374	12.06324960446103	0.17636775113120196	0.45458694643398223	0.8137381660432147	0.004492508245570059	-0.43436012251886197	0.08396561185734462	0.006841586342568363	-0.3294664580877809	0.2061805338692193	0.029371510838425405	0.8889470689528441	0.35113508903234697	0.013495292078093935	-0.7840534045217632	0.26256281498997464	0.04882030246552849	0.10489366443108102	0.3788569670862942
